所属地市,所属区县,所属供电所,变电站名称,变电站ID,变电站母线编号,馈线ID,馈线名称,电压等级(kV),电网类型,供电分区分类,供电区域特征,线路性质,产权性质,线路类别,主干电缆型号,主干电缆长度(km),主干裸导线型号,主干裸导线长度(km),主干绝缘架空型号,主干绝缘架空线长度(km),主干架空线长度(km),主干总长度(km),电缆总长度(km),架空绝缘线总长度(km),架空裸导线总长度(km),线路总长度(km),供电半径(km),接线模式,安全电流(A),主干线自动化分段数,无功补偿容量(kVar),供电负荷性质,装接公变台数,装接公变容量(kVA),装接专变台数,装接专变容量(kVA),装接配变总数,装接容量(kVA),线路总用户数(个),低压用户数(个),开关柜(面),三遥开关柜(面),二遥开关柜(面),柱上开关(台),三遥柱上开关(台),二遥柱上开关(台),户外开关站(座),户内开关站(座),三遥终端(套),二遥终端(套),带通信功能的故障指示器(套),投运日期,联络线路1变电站名称,联络线路1GISID,联络线路1名称,联络线路1高峰负荷时刻电流(A),联络线路2变电站名称,联络线路2GISID,联络线路2名称,联络线路2高峰负荷时刻电流(A),联络线路3变电站名称,联络线路3GISID,联络线路3名称,联络线路3高峰负荷时刻电流(A),联络线路4变电站名称,联络线路4GISID,联络线路4名称,联络线路4高峰负荷时刻电流(A),年最大电流(A),最大电流出现时间,高峰负荷时刻电流(A),年最高负载率(%),上一年度最高负载率(%),上一年度高峰负荷时刻电流(A),平均电流(A),平均负载率(%),线路供电负荷性质,年售电量(kWh),年供电量(kWh),线损率(%),上一年度线路故障次数,是否故障高发,是否重载,是否过载,过载累计持续时间(h),过载次数,重载累计持续时间(h),重载次数,重过载原因分析,线路最大用户容量(kVA),是否预计下一年过载,是否轻载,供电半径是否过长,是否站间联络线路,是否站内联络线路,是否同母线联络线路,是否同杆架设线路联络,是否首端联络,是否主干线挂灯笼,是否联络点不合理,是否单辐射,是否非典型接线,是否不可转供,是否装接容量偏高(>12MVA),是否装接容量偏低(<2MVA),是否存在大分支,是否主干线不满足自动化配置要求,是否重要分支线不满足自动化配置要求,末端电压(kV),是否存在馈线电压异常,馈线电压异常原因分析,是否存在抗风能力不足,是否存在防雷能力不足,是否存在用户故障出门,用户故障出门次数,是否存在安全隐患,是否残旧,是否报装受限,馈线供电区域报装负荷(kVA),是否实现馈线自动化,实现配电自动化情况,是否实现配电自动化有效覆盖,是否实现自愈最低布点要求,是否未实现光纤覆盖,设备状态,是否备用线路,是否单一用户线路,是否属于贫困地区,是否属于中心村,是否属于国有林场供电线路,是否属于革命老区示范区,备注(规划),备注(生技),备注(营销),备注(调度),主键
汕头供电局,汕头潮阳供电局,和平供电所,110kV双凤变电站,418007751419501.0,I,418007752218601.0,10kV练中线515,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22,2.1,/,0.0,0,0.0,0.0,2.1,3.84,3.85,0.84,8.53,4.68,架空线路单联络,508.0,2.0,0.0,工民混合,12.0,5530.0,6.0,2060.0,18.0,7590.0,5180.0,5162.0,8.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,8.0,2002年01月01日,110kV里美变电站,420220752008100.0,10kV里平线525,226.8,,,,,,,,,,,,,356.54,2021年08月30日,224.41,70.19,,,133.44,26.27,工民混合,20674792.5,21257561.0,2.7415,0.0,否,否,否,,,,,,,否,否,否,是,否,否,否,是,否,否,否,否,否,否,否,是,是,是,10.0,否,,否,否,否,,否,否,否,,否,无,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26476256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,谷饶供电所,110kV上堡变电站,418007751419101.0,Ⅱ,418007752179101.0,10kV堡华线539,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22;YJV22-8.7/15-3*240,0.26,/,0.0,0,0.0,0.0,0.26,0.37,3.75,0.0,4.12,2.74,架空线路两联络,508.0,2.0,0.0,工民混合,12.0,6100.0,14.0,3405.0,26.0,9505.0,1254.0,1229.0,2.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,0.0,4.0,2002年01月01日,110kV上堡变电站,420480105124700.0,10kV堡兴线533,0.0,110kV上堡变电站,418007752184401.0,10kV环东线542,196.0,,,,,,,,,396.09,2022年07月25日,371.48,77.97,,,214.58,42.24,工民混合,33635844.05,34184886.0,1.6061,0.0,否,否,否,,,,,,,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26486256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,贵屿供电所,110kV仙马变电站,418007751420601.0,Ⅲ,418007752407201.0,10kV下巷线532,10kV,农网,C,乡村,公用,电网资产,电缆线路,YJV22-8.7/15-3*240;YJV22-8.7/15-3*300,0.21,/,0.0,0,0.0,0.0,0.21,2.11,8.65,0.03,10.79,5.84,架空线路单联络,508.0,0.0,0.0,工民混合,9.0,4045.0,16.0,5210.0,25.0,9255.0,1107.0,1083.0,13.0,13.0,0.0,7.0,2.0,0.0,1.0,0.0,15.0,0.0,8.0,2002年01月01日,110kV仙马变电站,418007752375401.0,10kV渡头线530,246.33,,,,,,,,,,,,,229.0,2022年03月11日,144.38,45.08,,,115.59,22.75,工民混合,18145942.6,18415189.0,1.4621,0.0,否,否,否,,,,,,,否,否,是,否,是,是,是,否,否,否,否,否,否,否,否,否,是,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26496256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,金灶供电所,110kV金灶变电站,418007751417101.0,ⅡB,418007751980601.0,10kV沟头线525,10kV,农网,C,乡村,公用,电网资产,架空线路,YJV22;YJV22-8.7/15-3*240,0.57,LGJ-240,1.51,JKLGYJ-240,3.74,5.25,5.82,4.37,21.1,1.51,26.98,10.62,架空线路单联络,452.0,3.0,0.0,工民混合,40.0,10190.0,10.0,5260.0,50.0,15450.0,7094.0,7047.0,8.0,8.0,0.0,15.0,5.0,0.0,0.0,0.0,13.0,0.0,20.0,2002年01月01日,110kV金灶变电站,418007751959701.0,10kV外洋线527,46.76,,,,,,,,,,,,,199.34,2022年05月03日,199.34,44.1,,,81.65,18.06,工民混合,12663893.65,13007188.6,2.6393,0.0,否,否,否,,,,,,,否,否,是,否,是,是,是,是,否,否,否,否,否,是,否,是,是,是,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF264A6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,海门供电所,110kV海门变电站,418007751416101.0,Ⅱ,418007751854901.0,10kV海新线545,10kV,农网,C,乡村,公用,电网资产,架空线路,YJV22-8.7/15-3*300,0.18,/,0.0,JKLGYJ-240,2.94,2.94,3.12,0.91,4.05,0.0,4.96,4.42,架空线路单联络,508.0,3.0,0.0,工民混合,21.0,10335.0,3.0,800.0,24.0,11135.0,5830.0,5806.0,3.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,6.0,0.0,7.0,2002年01月01日,110kV海门变电站,420220645292800.0,10kV海峰线535,288.87,,,,,,,,,,,,,325.78,2022年03月26日,325.78,64.13,,,150.36,29.6,工民混合,23393847.75,23953234.0,2.3353,0.0,否,否,否,,,,,,,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,是,是,是,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点不合理）,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF264B6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,河溪供电所,110kV棉城变电站,418007751418001.0,ⅡB,420220371038200.0,10kV华阳线528,10kV,农网,C,乡村,公用,电网资产,电缆线路,YJV22,2.96,/,0.0,0,0.0,0.0,2.96,5.24,26.79,0.0,32.03,16.94,架空线路两联络,508.0,2.0,0.0,居住,32.0,13575.0,22.0,4105.0,54.0,17680.0,10084.0,10031.0,27.0,27.0,0.0,13.0,6.0,0.0,1.0,0.0,33.0,0.0,17.0,2016年09月23日,110kV棉城变电站,418007752094001.0,10kV河新线518,174.95,110kV棉城变电站,420220371038000.0,10kV河海线530,325.78,,,,,,,,,531.0,2022年01月31日,306.15,104.53,,,2.41,0.47,居住,357240.0,384419.0,7.0702,0.0,否,是,否,,,,,,,是,否,是,否,是,是,是,否,否,否,否,否,否,是,否,是,是,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点不合理）,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF264C6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,谷饶供电所,110kV上堡变电站,418007751419101.0,Ⅱ,418007752161501.0,10kV东明线552,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22;YJV22-8.7/15-3*300,0.21,/,0.0,0,0.0,0.0,0.21,0.38,3.86,0.0,4.24,3.17,架空线路两联络,508.0,2.0,0.0,工民混合,5.0,2445.0,25.0,7380.0,30.0,9825.0,312.0,283.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,19.0,2001年12月30日,110kV上堡变电站,418007986167401.0,10kV堡三线553,76.29,110kV上堡变电站,418007752154001.0,10kV堡中线558,395.86,,,,,,,,,321.68,2022年08月31日,291.09,63.32,,,173.18,34.09,工民混合,27017599.45,27589567.0,2.0731,0.0,否,否,否,,,,,,,否,否,否,否,是,是,否,是,否,否,否,否,否,否,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点不合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF264D6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,城南供电所,110kV口美变电站,418007751417601.0,I,418007751992001.0,10kV双树线527,10kV,农网,B,城镇,公用,电网资产,架空线路,YJV22-8.7/15-3*300,0.67,/,0.0,JKLGYJ-240,2.44,2.44,3.11,3.69,2.9,0.14,6.73,3.7,“3-1”单环网,508.0,0.0,0.0,工民混合,7.0,4760.0,2.0,1100.0,9.0,5860.0,2220.0,2211.0,28.0,28.0,0.0,4.0,0.0,0.0,0.0,1.0,28.0,0.0,5.0,2002年01月01日,110kV城东变电站,418007751759701.0,10kV沧州线531,362.99,,,,,,,,,,,,,226.75,2022年01月16日,103.71,44.64,,,98.7,19.43,工民混合,15397757.4,15724612.0,2.0786,0.0,否,否,否,,,,,,,否,否,否,是,否,否,否,是,否,否,否,否,否,否,否,是,是,是,10.0,否,,否,否,否,,否,否,否,,否,无,否,否,否,运行,否,否,否,否,否,否,,,,,E963C1CF264E6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,铜盂供电所,110kV铜盂变电站,418007751420101.0,I,420220463215000.0,10kV肖渡线527,10kV,农网,C,乡村,公用,电网资产,电缆线路,YJV22,0.36,/,0.0,0,0.0,0.0,0.36,1.66,16.35,0.0,18.01,9.08,架空线路单联络,463.0,4.0,0.0,工民混合,31.0,13345.0,11.0,2580.0,42.0,15925.0,6178.0,6136.0,1.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,5.0,0.0,12.0,2016年12月14日,110kV铜盂变电站,418007752312701.0,10kV草美线514,360.0,,,,,,,,,,,,,495.0,2022年03月09日,432.07,106.91,,,205.53,44.39,工民混合,31869296.4,32743549.0,2.67,0.0,否,是,否,,,,,,,是,否,是,否,是,否,是,否,否,否,否,否,否,是,否,是,是,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF264F6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,谷饶供电所,110kV上堡变电站,418007751419101.0,Ⅱ,418007752166501.0,10kV东星线545,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22,0.23,/,0.0,0,0.0,0.0,0.23,0.23,2.78,0.67,3.68,1.35,架空线路单联络,452.0,2.0,0.0,工民混合,7.0,3115.0,8.0,2540.0,15.0,5655.0,425.0,410.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,2002年01月01日,110kV上堡变电站,418007752164001.0,10kV横六线557,158.91,,,,,,,,,,,,,457.62,2022年07月28日,429.2,101.24,,,227.08,50.24,工民混合,35503351.5,36175470.0,1.8579,0.0,否,是,否,,,,,,,是,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26506256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,谷饶供电所,220kV谷饶变电站,418007751415601.0,I,420220588142200.0,10kV谷苑线531,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22,5.94,/,0.0,0,0.0,0.0,5.94,7.04,2.64,0.01,9.69,7.52,架空线路单联络,508.0,0.0,0.0,工民混合,8.0,4075.0,15.0,5970.0,23.0,10045.0,721.0,698.0,19.0,19.0,0.0,8.0,4.0,0.0,0.0,0.0,23.0,0.0,4.0,2018年07月04日,110kV上堡变电站,418007752159001.0,10kV茂一线551,435.94,,,,,,,,,,,,,328.41,2022年07月28日,313.48,64.65,,,188.84,37.17,工民混合,29408609.85,30083991.0,2.245,0.0,否,否,否,,,,,,,否,否,是,是,否,否,否,是,否,否,否,否,是,否,否,是,是,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,否,否,运行,否,否,否,否,否,否,,,,,E963C1CF26516256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,金灶供电所,110kV金灶变电站,418007751417101.0,ⅡB,418007751949901.0,10kV虎山线523,10kV,农网,C,乡村,公用,电网资产,混合线路,YJV22;YJV22-8.7/15-3*240,0.14,/,0.0,JKLGYJ-240,0.31,0.31,0.45,0.14,0.31,0.0,0.45,0.45,单辐射,452.0,0.0,0.0,工业,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002年01月01日,,,,,,,,,,,,,,,,,0.0,2022年01月01日,0.0,0.0,,,0.0,0.0,工业,0.0,0.0,0.0,0.0,否,否,否,,,,,,,否,否,否,否,否,否,否,否,否,否,否,否,否,否,是,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,无,是,是,否,运行,否,是,否,否,否,否,,,,,E963C1CF26716256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,城南供电所,110kV城东变电站,418007751415501.0,Ⅲ,418007751773001.0,10kV南门线532,10kV,农网,B,城镇,公用,电网资产,混合线路,YJV22;YJV22-3*240 / 848m;YJV22-8.7/15-3*240，YJV22-300,2.34,/,0.0,JKLGYJ-240、JKLGYJ-150,1.35,1.35,3.69,3.35,3.99,0.0,7.34,4.29,架空线路单联络,452.0,3.0,0.0,工民混合,15.0,7365.0,10.0,3610.0,25.0,10975.0,1567.0,1542.0,12.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,2001年12月30日,110kV城东变电站,418007751763101.0,10kV东岩线556,241.88,,,,,,,,,,,,,445.6,2022年07月27日,192.48,98.58,,,6.26,1.38,工民混合,981086.0,997210.0,1.6169,0.0,否,否,否,,,,,,,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,无,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26726256E0533D14930A8E43
